# MAGPI master source catalogue
#
# Generated 2024-08-23-16:45:12
# MAGPIID  -  unique MAGPI identifier
# segID    -  Segmentation ID, which can be matched against values in segim
# xmax     -  x position of maximum flux
# ymax     -  y position of maximum flux
# RAmax    -  Right Ascension of max flux
# Decmax   -  Declination of max flux
# z        -  Redshift. Only robust for QOP=3,4
# QOP      -  Redshift quality [4=great, 3=good, 2=possible, 1=unknown, 0=error]
# mag_rt   -  total r-band magnitude
# mag_it   -  total i-band magnitude
# R50_it   -  Approximate elliptical semi-major axis containing 50% of the flux (arcsec)
# R90_it   -  Approximate elliptical semi-major axis containing 90% of the flux (arcsec)
# axrat_it -  Axial ratio as given by min/maj
# ang_it   -  Orientation of the semi-major axis (cc from Y axis)
MAGPIID,segID,xmax,ymax,RAmax,Decmax,z,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it
1202368315,36,368.50,315.50,175.329257,-1.575738,0.7183,3,24.215,23.236,0.703,1.201,0.848,40.04
1202371088,48,371.50,88.50,175.329090,-1.588349,0.6553,1,24.520,24.008,0.594,0.990,0.934,155.08
1203018091,73,18.50,91.50,175.357205,0.627818,0.7667,1,23.472,22.382,1.222,1.848,0.497,4.00
1203022097,124,22.50,97.50,175.356982,0.628151,0.4081,1,26.154,24.761,0.385,0.538,0.746,163.62
1203023094,97,23.50,94.50,175.356927,0.627985,0.4585,1,26.385,25.100,0.384,0.535,0.577,21.62
1203028097,78,28.50,97.50,175.356649,0.628151,0.0375,1,23.546,22.303,1.141,1.813,0.864,70.15
1203033121,107,33.50,121.50,175.356371,0.629485,1.0260,2,25.325,23.530,0.832,1.301,0.809,43.55
1203040085,6,40.50,85.50,175.355982,0.627485,0.3124,4,19.269,18.641,1.092,2.942,0.703,164.36
1203042357,61,42.50,357.50,175.355871,0.642596,0.9713,2,24.008,23.406,0.477,0.763,0.882,133.69
1203043134,54,43.50,134.50,175.355816,0.630207,0.6555,1,24.748,23.379,0.803,1.583,0.641,68.98
1203044142,37,44.50,142.50,175.355760,0.630651,0.3661,4,23.215,22.744,0.698,1.377,0.745,178.06
1203048272,60,48.50,272.50,175.355538,0.637873,4.9248,1,23.604,22.951,0.990,1.687,0.888,18.70
